description,incident_type,severity,people_affected,rainfall_mm,nearby_reports,risk_zone,risk_score,incident_type_encoded,severity_encoded,risk_zone_encoded
dangerously high temperatures is affecting outdoor workers as dangerous heat continues.,Heatwave,Medium,20,71,12,Low,42,4,2,1
a powerful earthquake has collapsed several buildings while aftershocks remain possible.,Earthquake,Critical,18,28,4,High,85,1,0,0
a sudden mountain slope collapse has buried sections of the roadway with transportation completely disrupted.,Landslide,Critical,24,93,7,High,89,5,0,0
a commercial building fire has destroyed residential property creating a serious danger to nearby people.,Urban Fire,High,19,36,14,High,69,8,1,0
a commercial building fire has damaged several shops with emergency responders at the scene.,Urban Fire,Medium,14,48,18,Medium,50,8,2,2
falling rocks and soil has covered the road with debris with transportation completely disrupted.,Landslide,Medium,15,181,5,Medium,60,5,2,2
a severe heatwave is causing dehydration among residents and medical assistance is required.,Heatwave,High,10,46,9,Medium,71,4,1,2
a residential fire has forced residents to evacuate while smoke continues to spread.,Urban Fire,High,11,50,12,High,83,8,1,0
extreme heat has increased hospital admissions and emergency medical teams are being requested.,Heatwave,Critical,9,32,4,High,98,4,0,0
rising river water has submerged low lying areas creating a serious threat to residents.,Flood,Critical,14,199,8,High,97,2,0,0
extreme storm conditions has affected multiple villages and residents need immediate shelter.,Cyclone,High,14,114,17,High,78,0,1,0
strong seismic shaking has created large cracks in walls creating a serious threat to residents.,Earthquake,High,6,14,1,High,78,1,1,0
strong coastal winds has caused widespread property damage creating a serious threat to coastal residents.,Cyclone,Medium,28,113,16,Low,51,0,2,1
a strong seismic event has created large cracks in walls creating a serious threat to residents.,Earthquake,High,1,36,13,High,70,1,1,0
a rapidly spreading city fire is threatening nearby homes and trapped residents need rescue.,Urban Fire,High,11,46,17,Medium,82,8,1,2
rising river water has reached nearby schools while water levels continue to rise.,Flood,Medium,13,108,10,Medium,48,2,2,2
a major landslide has buried part of the mountain road and emergency clearance is needed.,Landslide,Critical,24,185,6,High,89,5,0,0
a commercial building fire is spreading between nearby buildings and firefighters require immediate assistance.,Urban Fire,Medium,16,68,10,Low,60,8,2,1
several injured residents needs critical medical attention and immediate treatment is necessary.,Medical Emergency,Critical,10,10,15,High,94,7,0,0
a rapidly spreading city fire has affected a crowded market as the fire continues to grow.,Urban Fire,High,7,0,5,Medium,67,8,1,2
a wildfire driven by strong winds has affected a large forest area and emergency teams are responding.,Forest Fire,Critical,18,8,0,High,89,3,0,0
a large market fire has damaged commercial infrastructure and emergency evacuation is required.,Urban Fire,Medium,8,23,6,Medium,50,8,2,2
heavy rainfall has blocked the main access road and residents are requesting immediate assistance.,Flood,High,5,199,3,High,77,2,1,0
a large hillside collapse has created dangerous conditions for travelers and immediate assistance is requested.,Landslide,High,16,119,17,Medium,68,5,1,2
severe lightning activity has struck a residential building and injured people need immediate treatment.,Lightning,High,11,69,12,Medium,68,6,1,2
a person with a critical injury needs an emergency ambulance and emergency responders are being requested.,Medical Emergency,High,24,55,10,High,83,7,1,0
dangerously high temperatures is causing dehydration among residents while temperatures remain extremely high.,Heatwave,Medium,25,65,14,Medium,50,4,2,2
a person with a critical injury has been injured in an accident creating a critical situation.,Medical Emergency,Critical,17,68,3,High,87,7,0,0
a powerful earthquake has caused major infrastructure damage creating a serious threat to residents.,Earthquake,Critical,0,67,8,High,93,1,0,0
a commercial building fire has trapped people inside a building and firefighters require immediate assistance.,Urban Fire,High,0,52,3,High,76,8,1,0
a rapidly spreading wildfire has damaged forest infrastructure and firefighters require additional support.,Forest Fire,Medium,4,61,2,Low,42,3,2,1
severe earthquake tremors has affected hospitals and public buildings and injured residents require assistance.,Earthquake,High,0,0,17,Medium,82,1,1,2
strong coastal winds has uprooted large trees while dangerous winds continue.,Cyclone,High,24,78,19,High,76,0,1,0
a major vegetation fire is threatening nearby homes while the fire continues to spread.,Forest Fire,Medium,14,69,6,Medium,48,3,2,2
a rapidly approaching cyclone has affected multiple villages and additional emergency support is needed.,Cyclone,Medium,21,66,5,Medium,40,0,2,2
a severe heatwave is affecting outdoor workers and medical assistance is required.,Heatwave,Medium,17,40,17,Medium,55,4,2,2
a large forest fire has reached the forest boundary creating a serious danger to nearby communities.,Forest Fire,Critical,9,4,8,High,88,3,0,0
a major vegetation fire is producing heavy smoke creating a serious danger to nearby communities.,Forest Fire,Medium,26,46,17,Medium,61,3,2,2
a large hillside collapse has created dangerous conditions for travelers creating a serious threat to nearby communities.,Landslide,Medium,2,52,10,Medium,55,5,2,2
an unconscious patient has suffered serious injuries with medical assistance urgently required.,Medical Emergency,Critical,29,56,19,High,92,7,0,0
several injured residents requires immediate medical treatment with emergency medical support required.,Medical Emergency,Critical,24,7,10,High,90,7,0,0
extreme storm conditions has forced families to leave their homes creating a serious threat to coastal residents.,Cyclone,Medium,3,136,11,Low,56,0,2,1
overflowing water has damaged roads and buildings and rescue teams are needed.,Flood,High,5,168,8,High,66,2,1,0
flames inside the forest is moving toward populated regions and evacuation may become necessary.,Forest Fire,Critical,1,7,12,High,93,3,0,0
severe earthquake tremors has damaged residential structures creating a serious threat to residents.,Earthquake,Medium,1,51,14,Medium,42,1,2,2
unstable hillside material has damaged nearby houses with transportation completely disrupted.,Landslide,High,14,194,16,High,76,5,1,0
dangerously high temperatures is affecting vulnerable populations while temperatures remain extremely high.,Heatwave,Medium,1,45,14,Medium,38,4,2,2
a seriously injured person has suffered serious injuries while the patient's condition remains serious.,Medical Emergency,Medium,1,40,17,Medium,53,7,2,2
extreme daytime temperatures is causing dehydration among residents as dangerous heat continues.,Heatwave,Medium,18,5,2,Medium,46,4,2,2
several injured residents requires urgent hospitalization with emergency medical support required.,Medical Emergency,Medium,24,61,4,Low,51,7,2,1
prolonged hot weather is affecting vulnerable populations creating a serious public safety concern.,Heatwave,High,1,75,3,Medium,79,4,1,2
a major vegetation fire is spreading toward nearby villages while the fire continues to spread.,Forest Fire,High,16,35,11,Medium,79,3,1,2
severe heat conditions is affecting outdoor workers creating a serious public safety concern.,Heatwave,High,12,43,9,High,79,4,1,0
a major building fire has trapped people inside a building and firefighters require immediate assistance.,Urban Fire,Medium,3,41,11,Low,54,8,2,1
prolonged hot weather is creating dangerous conditions outdoors and emergency medical teams are being requested.,Heatwave,Medium,23,6,17,Low,64,4,2,1
a large hillside collapse has covered the road with debris while residents remain stranded.,Landslide,Medium,17,24,20,Medium,51,5,2,2
a major landslide has created dangerous conditions for travelers and immediate assistance is requested.,Landslide,High,27,32,20,Medium,75,5,1,2
a large market fire has damaged several shops with emergency responders at the scene.,Urban Fire,Critical,6,31,19,High,90,8,0,0
flood water has entered residential houses and residents are requesting immediate assistance.,Flood,Medium,3,110,17,Low,63,2,2,1
severe cyclone winds has uprooted large trees with rescue teams being deployed.,Cyclone,Critical,5,87,1,High,87,0,0,0
flames inside the forest has affected a large forest area with visibility severely reduced by smoke.,Forest Fire,High,12,14,7,High,80,3,1,0
heavy rainfall triggered debris has damaged nearby houses as additional debris continues to fall.,Landslide,Medium,30,161,8,Low,39,5,2,1
a person with a critical injury requires emergency evacuation and an ambulance is needed immediately.,Medical Emergency,High,26,18,0,Medium,75,7,1,2
rapidly rising water levels has disrupted transportation creating a serious threat to residents.,Flood,High,17,20,9,High,74,2,1,0
dangerously high temperatures is causing dehydration among residents with residents advised to seek shelter.,Heatwave,Critical,22,37,6,High,97,4,0,0
a strong seismic event has caused widespread structural damage and rescue teams are urgently needed.,Earthquake,High,17,67,4,High,77,1,1,0
repeated lightning activity has disrupted electrical equipment and injured people need immediate treatment.,Lightning,Medium,9,10,15,Medium,62,6,2,2
severe heat conditions is affecting vulnerable populations and vulnerable residents need support.,Heatwave,Medium,13,13,6,Low,52,4,2,1
multiple lightning strikes has struck an open area while severe weather continues.,Lightning,High,19,57,5,Medium,80,6,1,2
a strong seismic event has destroyed several homes creating a serious threat to residents.,Earthquake,Critical,16,19,7,High,88,1,0,0
a seriously injured person has suffered serious injuries and immediate treatment is necessary.,Medical Emergency,Medium,12,29,12,Medium,51,7,2,2
several injured residents needs an emergency ambulance creating a critical situation.,Medical Emergency,High,19,18,0,High,77,7,1,0
overflowing water has submerged low lying areas and residents are requesting immediate assistance.,Flood,Medium,22,129,17,Medium,35,2,2,2
a rapidly approaching cyclone has knocked down electricity poles and additional emergency support is needed.,Cyclone,Medium,28,185,11,Low,36,0,2,1
a major landslide has isolated a village with transportation completely disrupted.,Landslide,Critical,23,128,2,High,91,5,0,0
strong coastal winds has forced families to leave their homes with rescue teams being deployed.,Cyclone,Critical,13,106,14,High,91,0,0,0
extreme daytime temperatures is causing people to collapse creating a serious public safety concern.,Heatwave,Medium,21,6,12,Low,47,4,2,1
a major building fire is spreading between nearby buildings as the fire continues to grow.,Urban Fire,Medium,30,5,15,Low,46,8,2,1
a commercial building fire has damaged commercial infrastructure as the fire continues to grow.,Urban Fire,High,7,77,6,Medium,79,8,1,2
repeated lightning activity has caused a medical emergency and injured people need immediate treatment.,Lightning,Medium,18,12,3,Medium,53,6,2,2
multiple lightning strikes has struck a residential building and injured people need immediate treatment.,Lightning,Medium,1,49,16,Low,48,6,2,1
a large forest fire has forced residents to prepare for evacuation as strong winds continue to push the flames.,Forest Fire,Critical,30,54,6,High,96,3,0,0
a rapidly spreading city fire has damaged commercial infrastructure and firefighters require immediate assistance.,Urban Fire,High,3,33,2,High,77,8,1,0
a major vegetation fire has affected a large forest area and evacuation may become necessary.,Forest Fire,Critical,12,72,13,High,90,3,0,0
repeated lightning activity has damaged electrical infrastructure with medical teams being requested.,Lightning,Critical,3,3,6,High,87,6,0,0
violent storm activity has damaged communication infrastructure creating a serious threat to coastal residents.,Cyclone,Medium,22,45,14,Low,40,0,2,1
intense ground movement has destroyed several homes with people potentially trapped under debris.,Earthquake,Medium,25,27,7,Medium,56,1,2,2
repeated lightning activity has damaged electrical infrastructure while severe weather continues.,Lightning,Critical,8,56,14,High,89,6,0,0
a rapidly spreading wildfire has affected a large forest area as strong winds continue to push the flames.,Forest Fire,Critical,8,10,9,High,86,3,0,0
a lightning strike has struck a residential building creating a serious safety risk.,Lightning,Critical,16,47,17,High,95,6,0,0
falling rocks and soil has buried part of the mountain road as additional debris continues to fall.,Landslide,Critical,18,126,5,High,95,5,0,0
unstable hillside material has buried sections of the roadway and emergency clearance is needed.,Landslide,High,22,134,6,Medium,84,5,1,2
a residential fire has damaged several shops and trapped residents need rescue.,Urban Fire,Medium,0,33,5,Medium,48,8,2,2
prolonged hot weather is affecting outdoor workers and vulnerable residents need support.,Heatwave,Medium,18,64,4,Medium,50,4,2,2
a fire inside a crowded neighborhood has trapped people inside a building and trapped residents need rescue.,Urban Fire,Medium,8,50,7,Medium,59,8,2,2
a powerful electrical discharge has injured several residents and emergency medical assistance is required.,Lightning,Medium,28,55,5,Medium,36,6,2,2
a major vegetation fire is becoming difficult to control creating a serious danger to nearby communities.,Forest Fire,Medium,26,31,9,Medium,62,3,2,2
dangerously high temperatures has affected elderly people creating a serious public safety concern.,Heatwave,High,14,19,1,Medium,69,4,1,2
a large fire in dry forest land is moving toward populated regions creating a serious danger to nearby communities.,Forest Fire,Medium,22,29,13,Medium,55,3,2,2
multiple lightning strikes has caused serious injuries creating a serious safety risk.,Lightning,High,25,69,13,High,83,6,1,0
a severe medical emergency requires immediate medical treatment with emergency medical support required.,Medical Emergency,Critical,3,16,5,High,85,7,0,0
a commercial building fire has trapped people inside a building and emergency evacuation is required.,Urban Fire,Critical,16,44,12,High,98,8,0,0
heavy rainfall has surrounded several families creating a serious threat to residents.,Flood,High,19,38,14,High,78,2,1,0
a seriously injured person requires immediate assistance from medical teams and an ambulance is needed immediately.,Medical Emergency,Medium,10,57,17,Medium,39,7,2,2
a powerful electrical discharge has affected people outdoors while severe weather continues.,Lightning,Medium,25,39,20,Low,43,6,2,1
strong coastal winds has caused widespread property damage as the storm continues to intensify.,Cyclone,Critical,11,80,18,High,90,0,0,0
several injured residents needs critical medical attention while the patient's condition remains serious.,Medical Emergency,Medium,12,72,6,Medium,58,7,2,2
a major earthquake has collapsed several buildings and injured residents require assistance.,Earthquake,Medium,4,59,1,Low,52,1,2,1
a large fire in dry forest land is moving toward populated regions and emergency teams are responding.,Forest Fire,Medium,28,21,1,Low,47,3,2,1
heavy rainfall triggered debris has completely blocked the highway and emergency clearance is needed.,Landslide,Medium,7,51,6,Medium,60,5,2,2
unstable hillside material has buried part of the mountain road with transportation completely disrupted.,Landslide,Critical,22,137,1,High,89,5,0,0
lightning during a major storm has caused a medical emergency with medical teams being requested.,Lightning,Medium,5,76,0,Low,42,6,2,1
a rapidly approaching cyclone has forced families to leave their homes and residents need immediate shelter.,Cyclone,High,19,197,12,Medium,67,0,1,2
a rapidly approaching cyclone has forced families to leave their homes and additional emergency support is needed.,Cyclone,High,11,130,4,Medium,72,0,1,2
a large forest fire is producing heavy smoke while the fire continues to spread.,Forest Fire,Critical,2,72,0,High,97,3,0,0
a major landslide has completely blocked the highway and immediate assistance is requested.,Landslide,Medium,26,66,17,Low,44,5,2,1
severe waterlogging has damaged roads and buildings with several people unable to leave.,Flood,Medium,16,138,1,Medium,52,2,2,2
a commercial building fire is spreading through a residential area with emergency responders at the scene.,Urban Fire,Critical,2,20,10,High,88,8,0,0
a strong seismic event has trapped people inside buildings with people potentially trapped under debris.,Earthquake,Critical,30,15,15,High,99,1,0,0
overflowing water has disrupted transportation while water levels continue to rise.,Flood,Critical,14,54,14,High,95,2,0,0
a major building fire has filled buildings with heavy smoke and emergency evacuation is required.,Urban Fire,Medium,25,43,13,Low,55,8,2,1
strong seismic shaking has affected hospitals and public buildings with people potentially trapped under debris.,Earthquake,High,18,7,17,Medium,79,1,1,2
several injured residents requires urgent hospitalization and immediate treatment is necessary.,Medical Emergency,High,6,41,11,High,84,7,1,0
heavy rainfall triggered debris has damaged nearby houses and emergency clearance is needed.,Landslide,Medium,25,34,2,Low,56,5,2,1
heavy rainfall has surrounded several families with several people unable to leave.,Flood,Medium,23,159,19,Medium,63,2,2,2
severe heat conditions is affecting vulnerable populations while temperatures remain extremely high.,Heatwave,High,7,78,19,High,72,4,1,0
a person with a critical injury has suffered serious injuries while the patient's condition remains serious.,Medical Emergency,Medium,8,7,20,Low,43,7,2,1
a rapidly spreading wildfire is moving toward populated regions and evacuation may become necessary.,Forest Fire,High,18,8,9,High,78,3,1,0
a major earthquake has damaged residential structures and rescue teams are urgently needed.,Earthquake,Critical,6,64,14,High,90,1,0,0
extreme storm conditions has disrupted electricity supply with rescue teams being deployed.,Cyclone,Medium,12,183,11,Medium,38,0,2,2
a large fire in dry forest land has affected a large forest area while the fire continues to spread.,Forest Fire,Medium,28,1,11,Low,64,3,2,1
a large forest fire is threatening nearby homes creating a serious danger to nearby communities.,Forest Fire,Critical,20,68,17,High,94,3,0,0
severe lightning activity has injured several residents and emergency medical assistance is required.,Lightning,Medium,20,28,5,Medium,49,6,2,2
lightning during a major storm has injured several residents and emergency medical assistance is required.,Lightning,High,9,66,19,High,77,6,1,0
multiple accident victims has suffered serious injuries and emergency responders are being requested.,Medical Emergency,Critical,21,52,13,High,90,7,0,0
lightning during a major storm has injured several residents as additional lightning activity is reported.,Lightning,Medium,7,6,15,Low,64,6,2,1
repeated lightning activity has struck an open area and emergency responders are needed.,Lightning,High,18,70,15,High,69,6,1,0
several injured residents has been injured in an accident with emergency medical support required.,Medical Emergency,Medium,4,74,17,Medium,56,7,2,2
a powerful electrical discharge has injured people in the area creating a serious safety risk.,Lightning,Medium,25,20,2,Low,44,6,2,1
strong coastal winds has damaged residential roofs while dangerous winds continue.,Cyclone,High,1,168,11,High,69,0,1,0
a commercial building fire has affected a crowded market as the fire continues to grow.,Urban Fire,Medium,21,29,3,Low,58,8,2,1
intense ground movement has trapped people inside buildings and emergency response operations are underway.,Earthquake,High,6,42,20,Medium,67,1,1,2
several injured residents requires immediate medical treatment and an ambulance is needed immediately.,Medical Emergency,Critical,9,67,4,High,91,7,0,0
severe heat conditions is affecting vulnerable populations as dangerous heat continues.,Heatwave,Medium,2,26,20,Medium,59,4,2,2
rapidly rising water levels has disrupted transportation and emergency evacuation is required.,Flood,Medium,14,126,1,Low,41,2,2,1
unstable hillside material has damaged nearby houses as additional debris continues to fall.,Landslide,Critical,25,146,0,High,90,5,0,0
unstable hillside material has buried sections of the roadway creating a serious threat to nearby communities.,Landslide,High,1,110,19,Medium,78,5,1,2
lightning during a major storm has affected people outdoors and emergency responders are needed.,Lightning,Medium,19,61,0,Medium,48,6,2,2
flames inside the forest is spreading toward nearby villages with visibility severely reduced by smoke.,Forest Fire,Medium,29,26,4,Low,52,3,2,1
a lightning strike has damaged electrical infrastructure as additional lightning activity is reported.,Lightning,Medium,14,41,8,Low,58,6,2,1
severe waterlogging has reached nearby schools and emergency evacuation is required.,Flood,High,28,167,6,High,73,2,1,0
an unconscious patient has suffered a sudden health crisis and immediate treatment is necessary.,Medical Emergency,High,0,42,6,High,82,7,1,0
rising river water has damaged roads and buildings with several people unable to leave.,Flood,High,13,37,10,Medium,84,2,1,2
unstable hillside material has blocked access to residential areas while residents remain stranded.,Landslide,Medium,28,92,2,Medium,43,5,2,2
repeated lightning activity has injured people in the area with medical teams being requested.,Lightning,High,27,68,11,Medium,78,6,1,2
flood water has affected the village market creating a serious threat to residents.,Flood,Critical,4,26,1,High,88,2,0,0
a powerful coastal cyclone has caused widespread property damage with rescue teams being deployed.,Cyclone,Medium,8,136,9,Low,41,0,2,1
severe cyclone winds has forced families to leave their homes creating a serious threat to coastal residents.,Cyclone,High,15,49,3,High,72,0,1,0
flood water has trapped residents inside their homes while water levels continue to rise.,Flood,High,14,192,6,Medium,81,2,1,2
strong coastal winds has affected multiple villages as the storm continues to intensify.,Cyclone,Critical,3,189,0,High,87,0,0,0
a wildfire driven by strong winds has reached the forest boundary as strong winds continue to push the flames.,Forest Fire,Medium,12,37,20,Medium,36,3,2,2
a powerful electrical discharge has struck an open area while severe weather continues.,Lightning,Critical,24,12,2,High,95,6,0,0
a powerful electrical discharge has affected people outdoors and injured people need immediate treatment.,Lightning,Critical,20,69,12,High,87,6,0,0
a major landslide has completely blocked the highway and emergency clearance is needed.,Landslide,High,16,121,17,Medium,80,5,1,2
flames inside the forest has damaged forest infrastructure and evacuation may become necessary.,Forest Fire,Critical,2,12,4,High,97,3,0,0
falling rocks and soil has trapped several vehicles while residents remain stranded.,Landslide,Critical,0,85,6,High,98,5,0,0
overflowing water has damaged roads and buildings while water levels continue to rise.,Flood,Critical,13,52,1,High,89,2,0,0
a severe heatwave is causing people to collapse creating a serious public safety concern.,Heatwave,High,12,50,0,High,80,4,1,0
a powerful electrical discharge has injured people in the area and emergency responders are needed.,Lightning,High,5,9,17,Medium,67,6,1,2
an unconscious patient requires emergency evacuation and an ambulance is needed immediately.,Medical Emergency,Medium,10,58,7,Low,48,7,2,1
severe earthquake tremors has damaged residential structures and emergency response operations are underway.,Earthquake,Critical,6,42,7,High,91,1,0,0
strong seismic shaking has caused widespread structural damage and emergency response operations are underway.,Earthquake,High,4,38,12,Medium,70,1,1,2
a seriously injured person has suffered a sudden health crisis with medical assistance urgently required.,Medical Emergency,Medium,27,10,3,Medium,58,7,2,2
flames inside the forest is producing heavy smoke while the fire continues to spread.,Forest Fire,Medium,9,21,14,Low,53,3,2,1
a fire inside a crowded neighborhood is spreading through a residential area and emergency evacuation is required.,Urban Fire,Critical,22,20,1,High,88,8,0,0
a severe medical emergency has been injured in an accident and emergency responders are being requested.,Medical Emergency,Critical,20,72,5,High,90,7,0,0
a rapidly approaching cyclone has disrupted electricity supply while dangerous winds continue.,Cyclone,High,16,76,19,Medium,66,0,1,2
falling rocks and soil has damaged local infrastructure and emergency clearance is needed.,Landslide,High,7,118,2,High,76,5,1,0
a major vegetation fire is burning through dry vegetation and evacuation may become necessary.,Forest Fire,High,17,35,19,High,82,3,1,0
an unconscious patient has been injured in an accident while the patient's condition remains serious.,Medical Emergency,Critical,23,25,6,High,86,7,0,0
severe waterlogging has entered residential houses and residents are requesting immediate assistance.,Flood,Critical,26,114,18,High,93,2,0,0
a severe heatwave is creating dangerous conditions outdoors as dangerous heat continues.,Heatwave,Critical,25,32,17,High,86,4,0,0
flames inside the forest has affected a large forest area and emergency teams are responding.,Forest Fire,Medium,20,21,14,Medium,46,3,2,2
a large fire in dry forest land is becoming difficult to control as strong winds continue to push the flames.,Forest Fire,Critical,8,16,4,High,88,3,0,0
flames inside the forest has damaged forest infrastructure as strong winds continue to push the flames.,Forest Fire,Medium,28,12,4,Low,59,3,2,1
a major earthquake has caused major infrastructure damage with people potentially trapped under debris.,Earthquake,Critical,19,78,15,High,95,1,0,0
rapidly rising water levels has blocked the main access road making the area inaccessible.,Flood,Medium,23,59,7,Medium,62,2,2,2
a major landslide has buried part of the mountain road and rescue teams are required.,Landslide,Medium,14,36,3,Low,61,5,2,1
prolonged hot weather is causing heat exhaustion creating a serious public safety concern.,Heatwave,Medium,30,24,9,Medium,49,4,2,2
lightning during a major storm has injured people in the area with medical teams being requested.,Lightning,High,28,48,11,Medium,70,6,1,2
severe waterlogging has entered residential houses making the area inaccessible.,Flood,Critical,30,196,4,High,93,2,0,0
an unconscious patient needs critical medical attention with medical assistance urgently required.,Medical Emergency,High,0,43,3,Medium,74,7,1,2
extreme storm conditions has damaged residential roofs as the storm continues to intensify.,Cyclone,Critical,1,103,1,High,89,0,0,0
severe cyclone winds has damaged communication infrastructure and emergency evacuation is required.,Cyclone,Critical,23,56,13,High,98,0,0,0
a person with a critical injury requires immediate assistance from medical teams while the patient's condition remains serious.,Medical Emergency,Medium,12,66,19,Medium,62,7,2,2
repeated lightning activity has injured several residents as additional lightning activity is reported.,Lightning,Critical,26,34,18,High,85,6,0,0
a major landslide has completely blocked the highway as additional debris continues to fall.,Landslide,High,22,147,11,Medium,81,5,1,2
strong seismic shaking has damaged roads and bridges and emergency response operations are underway.,Earthquake,High,24,62,20,Medium,80,1,1,2
a residential fire is threatening nearby homes with emergency responders at the scene.,Urban Fire,High,8,57,5,High,83,8,1,0
extreme daytime temperatures is creating dangerous conditions outdoors and medical assistance is required.,Heatwave,Medium,28,49,13,Medium,54,4,2,2
unstable hillside material has completely blocked the highway while residents remain stranded.,Landslide,Medium,14,114,11,Medium,49,5,2,2
a major landslide has buried sections of the roadway and emergency clearance is needed.,Landslide,High,30,165,1,High,84,5,1,0
a powerful earthquake has caused major infrastructure damage with people potentially trapped under debris.,Earthquake,High,2,68,6,Medium,66,1,1,2
rapidly rising water levels has reached nearby schools with several people unable to leave.,Flood,Medium,5,188,2,Low,44,2,2,1
a person with a critical injury has been injured in an accident and emergency responders are being requested.,Medical Emergency,Medium,6,62,12,Medium,55,7,2,2
a fire inside a crowded neighborhood is spreading between nearby buildings while smoke continues to spread.,Urban Fire,High,10,65,15,High,79,8,1,0
a person with a critical injury requires emergency evacuation while the patient's condition remains serious.,Medical Emergency,Medium,8,46,3,Low,35,7,2,1
a powerful coastal cyclone has caused widespread property damage while dangerous winds continue.,Cyclone,High,30,108,18,Medium,74,0,1,2
a commercial building fire has affected a crowded market and firefighters require immediate assistance.,Urban Fire,Critical,21,63,19,High,85,8,0,0
a severe medical emergency has suffered a sudden health crisis and immediate treatment is necessary.,Medical Emergency,Medium,1,70,12,Medium,43,7,2,2
strong coastal winds has damaged residential roofs as the storm continues to intensify.,Cyclone,High,3,80,12,Medium,83,0,1,2
a rapidly spreading city fire has damaged several shops and emergency evacuation is required.,Urban Fire,Critical,23,30,8,High,88,8,0,0
repeated lightning activity has struck an open area while severe weather continues.,Lightning,Medium,19,51,1,Low,47,6,2,1
a major building fire is spreading between nearby buildings while smoke continues to spread.,Urban Fire,High,28,73,8,High,80,8,1,0
a major vegetation fire is spreading toward nearby villages as strong winds continue to push the flames.,Forest Fire,Medium,21,22,15,Medium,59,3,2,2
falling rocks and soil has buried sections of the roadway and rescue teams are required.,Landslide,Medium,28,42,2,Low,44,5,2,1
violent storm activity has disrupted electricity supply and emergency evacuation is required.,Cyclone,Critical,27,193,12,High,98,0,0,0
dangerously high temperatures has increased hospital admissions as dangerous heat continues.,Heatwave,High,1,54,8,Medium,82,4,1,2
flood water has disrupted transportation making the area inaccessible.,Flood,Medium,23,64,19,Low,53,2,2,1
a seriously injured person has suffered serious injuries with emergency medical support required.,Medical Emergency,High,15,17,5,High,71,7,1,0
a major vegetation fire is burning through dry vegetation while the fire continues to spread.,Forest Fire,Critical,18,49,11,High,91,3,0,0
a major earthquake has destroyed several homes with people potentially trapped under debris.,Earthquake,Medium,23,53,11,Low,63,1,2,1
a powerful coastal cyclone has forced families to leave their homes and additional emergency support is needed.,Cyclone,Medium,3,180,20,Low,36,0,2,1
repeated lightning activity has caused a medical emergency and emergency medical assistance is required.,Lightning,High,0,54,2,Medium,74,6,1,2
a rapidly spreading wildfire is spreading toward nearby villages while the fire continues to spread.,Forest Fire,Critical,25,68,12,High,88,3,0,0
a person with a critical injury requires urgent hospitalization and immediate treatment is necessary.,Medical Emergency,Critical,19,48,10,High,91,7,0,0
prolonged hot weather has affected elderly people as dangerous heat continues.,Heatwave,Medium,26,16,3,Low,47,4,2,1
a strong seismic event has trapped people inside buildings while aftershocks remain possible.,Earthquake,Medium,4,28,0,Medium,59,1,2,2
a severe heatwave is creating dangerous conditions outdoors with residents advised to seek shelter.,Heatwave,Critical,3,28,0,High,90,4,0,0
a rapidly spreading wildfire has damaged forest infrastructure while the fire continues to spread.,Forest Fire,High,2,46,8,Medium,67,3,1,2
severe waterlogging has damaged roads and buildings making the area inaccessible.,Flood,Critical,2,126,13,High,90,2,0,0
intense ground movement has affected hospitals and public buildings creating a serious threat to residents.,Earthquake,Critical,21,26,18,High,92,1,0,0
severe lightning activity has injured people in the area and injured people need immediate treatment.,Lightning,Medium,28,30,15,Medium,44,6,2,2
a severe medical emergency requires immediate medical treatment creating a critical situation.,Medical Emergency,High,15,76,17,High,67,7,1,0
severe heat conditions is creating dangerous conditions outdoors and vulnerable residents need support.,Heatwave,Medium,19,60,11,Low,57,4,2,1
flood water has entered residential houses with several people unable to leave.,Flood,Critical,4,141,3,High,94,2,0,0
a person with a critical injury needs critical medical attention while the patient's condition remains serious.,Medical Emergency,High,1,29,6,High,76,7,1,0
a powerful coastal cyclone has blocked several roads and additional emergency support is needed.,Cyclone,Medium,27,156,12,Low,45,0,2,1
extreme daytime temperatures has resulted in medical emergencies and vulnerable residents need support.,Heatwave,Critical,13,77,16,High,89,4,0,0
severe heat conditions is causing dehydration among residents with residents advised to seek shelter.,Heatwave,Critical,22,43,3,High,97,4,0,0
extreme storm conditions has damaged coastal buildings while dangerous winds continue.,Cyclone,High,10,126,5,High,71,0,1,0
a person with a critical injury has been injured in an accident and immediate treatment is necessary.,Medical Emergency,Medium,7,29,0,Medium,46,7,2,2
a severe medical emergency has suffered a sudden health crisis and emergency responders are being requested.,Medical Emergency,Critical,17,66,8,High,93,7,0,0
a large market fire has damaged commercial infrastructure with emergency responders at the scene.,Urban Fire,High,15,80,3,Medium,79,8,1,2
multiple lightning strikes has caused serious injuries while severe weather continues.,Lightning,Critical,13,19,4,High,94,6,0,0
a powerful electrical discharge has damaged a nearby structure while severe weather continues.,Lightning,Medium,0,1,15,Medium,64,6,2,2
falling rocks and soil has damaged local infrastructure and immediate assistance is requested.,Landslide,Medium,30,101,11,Medium,57,5,2,2
falling rocks and soil has isolated a village creating a serious threat to nearby communities.,Landslide,Critical,1,81,13,High,95,5,0,0
severe waterlogging has surrounded several families while water levels continue to rise.,Flood,High,0,110,9,Medium,77,2,1,2
a seriously injured person has been injured in an accident and an ambulance is needed immediately.,Medical Emergency,Critical,14,1,2,High,91,7,0,0
a commercial building fire has destroyed residential property as the fire continues to grow.,Urban Fire,High,22,1,0,Medium,71,8,1,2
